B,G,R,Target
91,144,85,Hijau
86,143,84,Hijau
85,143,85,Hijau
86,143,85,Hijau
86,142,85,Hijau
85,142,84,Hijau
85,142,84,Hijau
85,142,84,Hijau
85,142,84,Hijau
85,142,84,Hijau
85,142,84,Hijau
85,142,84,Hijau
85,142,84,Hijau
86,142,84,Hijau
85,142,85,Hijau
85,142,84,Hijau
85,142,83,Hijau
84,142,83,Hijau
84,142,84,Hijau
85,142,85,Hijau
88,144,87,Hijau
89,145,88,Hijau
89,145,88,Hijau
90,145,88,Hijau
90,145,88,Hijau
89,145,88,Hijau
89,145,88,Hijau
89,144,88,Hijau
90,145,88,Hijau
89,145,88,Hijau
90,145,88,Hijau
89,145,88,Hijau
88,144,87,Hijau
83,138,82,Hijau
78,137,79,Hijau
76,137,79,Hijau
76,137,80,Hijau
93,86,93,hitam
92,86,92,hitam
92,86,92,hitam
94,87,94,hitam
94,88,94,hitam
94,88,94,hitam
95,88,94,hitam
95,89,95,hitam
96,89,96,hitam
96,90,96,hitam
97,90,97,hitam
98,91,97,hitam
98,91,97,hitam
98,91,98,hitam
99,92,97,hitam
99,92,97,hitam
99,92,97,hitam
99,92,97,hitam
99,92,97,hitam
99,92,97,hitam
100,92,97,hitam
100,92,96,hitam
100,92,96,hitam
100,92,96,hitam
101,92,96,hitam
102,92,95,hitam
102,92,95,hitam
102,92,95,hitam
102,93,95,hitam
102,93,95,hitam
101,92,94,hitam
100,93,94,hitam
100,94,95,hitam
101,95,96,hitam
101,95,96,hitam
101,94,95,hitam
100,94,95,hitam
100,94,95,hitam
100,94,95,hitam
71,64,68,hitam
71,64,68,hitam
73,66,70,hitam
74,67,72,hitam
73,67,72,hitam
74,67,72,hitam
75,67,73,hitam
